layer,mean,std,max,energy,spike_score,anomaly_score,flagged
model.layers.10.mlp.gate_proj,-0.4076292331020037,0.6519394069910049,5.796334918340047,0.5959647114078204,8.890896861405956,1.2080740798478504,False
model.layers.22.mlp.up_proj,-0.003478825210671251,0.9659373184045156,9.703571335474651,0.9401936362187068,10.045746349003405,1.1638929707270915,False
model.layers.14.mlp.gate_proj,-0.31849864789595206,0.6871040826042493,5.404871348539988,0.5811159444351991,7.8661495677700035,1.1423758206214214,False
model.layers.13.mlp.gate_proj,-0.3400522006675601,0.6484218140443166,5.957895743846893,0.541043599198262,9.188288281663851,1.1344612574483413,False
model.layers.12.mlp.gate_proj,-0.34651056056221324,0.6212317069371541,5.3914379199345905,0.5096738743285338,8.678612474407284,1.1054957796762936,False
model.layers.5.mlp.down_proj,0.007936403797551369,0.36897282575567564,26.209357484181723,0.15028799803306658,71.03310764795778,1.1022691058361116,False
model.layers.5.mlp,0.007936403797551369,0.36897282575567564,26.209357484181723,0.15028799803306658,71.03310764795778,1.1022691058361116,False
model.layers.11.mlp.gate_proj,-0.33975277841091156,0.6135426446795463,5.726566286881765,0.49491397142410276,9.333592380168405,1.0961227440345522,False
model.layers.19.mlp.act_fn,-0.0723469461624821,0.3980047136545181,24.011308987935383,0.16428340276082357,60.3290560013869,1.0900705601069516,False
model.layers.2.mlp.act_fn,-0.10294959905246893,0.31928629452983537,17.697745052973428,0.11820567759374777,55.42890480197197,0.9883455093613988,False
model.layers.1.post_attention_layernorm,-0.00231125241649958,0.7806305229663849,10.342792534828186,0.6106732785701752,13.249263231807205,0.976501735557974,False
model.layers.19.mlp.up_proj,-0.004265188513090834,0.8058317055304846,6.493960563341776,0.6514231964945794,8.058695705415385,0.9558261707471872,False
model.layers.0.mlp.gate_proj,-0.16480805339912574,0.6283281455437343,5.472833061218262,0.4259241277972857,8.71013719486506,0.9228299836712393,False
model.layers.22.mlp.act_fn,0.07432157024741173,0.6268403391043346,10.35374312400818,0.4036291922132174,16.517326599426543,0.9066980945673334,False
model.layers.23.self_attn,0.004945595707370861,0.5867761969566345,16.383004188537598,0.35050994778672856,27.920315025037304,0.9059759376930514,False
model.layers.23.self_attn.o_proj,0.004945595707370861,0.5867761969566345,16.383004188537598,0.35050994778672856,27.920315025037304,0.9059759376930514,False
model.layers.16.self_attn.v_proj,0.007163879545987584,0.7824469208096464,3.6376167816420395,0.6316777347490036,4.649020957047181,0.8992687834010061,False
model.layers.11.self_attn.v_proj,0.06629882551108797,0.7001789073149364,4.777373266220093,0.5009698079278072,6.823065352646947,0.8848053671452746,False
model.layers.0.post_attention_layernorm,-0.000449066025942102,0.6583010782798131,10.70741400718689,0.43371352006991704,16.26519854709569,0.8647734817837038,False
model.layers.17.self_attn.v_proj,-0.02521438303908023,0.7050221030910809,4.281083802382152,0.5024706598371267,6.072260304112452,0.8412061551549983,False
model.layers.20.mlp,-0.0012055440736124486,0.5890646889805794,11.370237644513448,0.3536308236420155,19.302155697084416,0.8186548723892375,False
model.layers.20.mlp.down_proj,-0.0012055440736124486,0.5890646889805794,11.370237644513448,0.3536308236420155,19.302155697084416,0.8186548723892375,False
model.layers.19.self_attn.v_proj,0.018806222625426017,0.6901463175813357,3.158950157960256,0.48557496120532356,4.577211382971093,0.803282150157005,False
model.layers.17.mlp.up_proj,-0.005753331549446254,0.6567708080013593,5.157488560676574,0.43328883945941926,7.8527861547094595,0.7843808850438421,False
model.layers.18.self_attn.v_proj,-0.007333602484141011,0.6632862471044063,3.879276128609975,0.44945431084682547,5.848561306651126,0.7740508937397411,False
model.layers.9.self_attn.v_proj,-0.007365849141691191,0.6615684315562248,3.7153466284275054,0.44435411219795545,5.6159587357109455,0.769529279274821,False
model.layers.18.mlp.up_proj,-0.005671449154275857,0.6374689598878225,4.407865452766418,0.407889466236035,6.914624578610863,0.7530756014518105,False
model.layers.5.mlp.up_proj,0.00034313316952345,0.5560056626796722,7.606443309783936,0.3102213370303313,13.680489498317714,0.724175824535406,False
model.layers.16.mlp.up_proj,0.0022831765916028718,0.6072963133454323,4.516689391930898,0.36993088126182555,7.4373610629852935,0.7209461886930706,False
model.layers.15.self_attn.v_proj,-0.0056066356094864505,0.626047732681036,3.091797842582067,0.39698134213685987,4.93858973141201,0.7207383998183285,False
model.layers.5.mlp.act_fn,-0.1602909507850806,0.20565103888511657,6.939737502733866,0.0683416481440266,33.74504595410607,0.7102266140256606,False
model.layers.14.self_attn.v_proj,-0.009293028834508731,0.6161153942346573,2.7376796066761018,0.3898779649287462,4.443445479286199,0.7088306743549028,False
model.layers.10.self_attn.v_proj,-0.021590810269117355,0.5927587186296781,2.9801804184913636,0.3571144439280033,5.027636536066998,0.7003373386522658,False
model.layers.20.mlp.act_fn,-0.061475250280151765,0.4314656309783459,7.837291884422302,0.19126806706190108,18.16430593172716,0.6937107472819595,False
model.layers.13.self_attn.v_proj,-0.009588977001840249,0.587399588773648,3.040117081006368,0.35195287202174463,5.175543128673748,0.6839392842644001,False
model.layers.15.mlp.up_proj,-0.00438394361359921,0.559194848438104,4.323127496242523,0.31383488004406296,7.7309720884328765,0.6722720009404382,False
model.layers.7.mlp.up_proj,0.0040626762645236646,0.5024130955338478,6.36401682694753,0.2533211521804333,12.666875558468051,0.6584766426010953,False
model.layers.19.mlp.down_proj,0.01386728032763737,0.425362274547418,7.7805579940478005,0.18266478963196278,18.291560319414582,0.6404116370323975,False
model.layers.19.mlp,0.01386728032763737,0.425362274547418,7.7805579940478005,0.18266478963196278,18.291560319414582,0.6404116370323975,False
model.layers.6.mlp.up_proj,0.0007761734046046816,0.4905140260855357,6.031803433100382,0.2415853629509608,12.296878000325643,0.6384175157884928,False
model.layers.9.mlp.up_proj,-0.002849680423484339,0.47165179600318274,6.538180788358052,0.22309428627292316,13.862275054368453,0.6354336555976439,False
model.layers.12.self_attn.v_proj,0.018223612456737707,0.5363571964204311,2.490257219473521,0.2948876661558946,4.642899532612906,0.6304985708188874,False
model.layers.7.self_attn.v_proj,-0.019693980896818175,0.5156372748315334,3.0070134977499645,0.27041134730291866,5.831633617059167,0.6206887266292351,False
model.layers.4.mlp.up_proj,-0.0019753040263215857,0.5052614589532216,4.131517163912455,0.2562264387806257,8.176972364960445,0.6146291305072102,False
model.layers.17.mlp.act_fn,-0.1032794926315546,0.3003735971947511,5.981729785601298,0.10167399483422439,19.91423323232284,0.6129628216329566,False
model.layers.13.mlp.up_proj,-0.0028592265025508823,0.49812958886226016,4.119332905610403,0.24894950687885284,8.269584317275191,0.6085796092254482,False
model.layers.5.self_attn.v_proj,-0.0068839055912879605,0.5182682005067666,2.4284813185532887,0.2735274628425638,4.685752724990614,0.599362379632217,False
model.layers.14.mlp.up_proj,0.0011767539888145014,0.4979037170608838,3.5615025719006854,0.24869455993175507,7.152980178464919,0.595479728827523,False
model.layers.21.self_attn.o_proj,0.009036021410429385,0.3181912692884604,7.737441867589951,0.10340744536370039,24.31687572074699,0.5807367924427297,False
model.layers.21.self_attn,0.009036021410429385,0.3181912692884604,7.737441867589951,0.10340744536370039,24.31687572074699,0.5807367924427297,False
model.layers.11.mlp.up_proj,0.002514992348733358,0.4606621061762174,4.292424766222636,0.21301693990826606,9.31792606934026,0.57765805320918,False
model.layers.18.mlp.act_fn,-0.0859026330523193,0.2905703939497471,5.551455354690551,0.09281590251872937,19.105305856951112,0.5768076758234505,False
model.layers.12.mlp.up_proj,-0.0016224654853431275,0.46983411560455957,3.828338082631429,0.22128302777806919,8.148258730523624,0.5750674711729459,False
model.layers.8.mlp.up_proj,-0.001541591178223219,0.47672339528799057,3.3677752296129864,0.22786922007799149,7.064407156211303,0.571695980036126,False
model.layers.16.mlp.act_fn,-0.038572896500894176,0.3760615492860476,5.1703173836072285,0.1438197917615374,13.748556971235354,0.566501994675449,False
model.layers.4.self_attn.v_proj,-0.01257104796435063,0.4787153070171674,2.212163472175598,0.2324136918100218,4.621032205815932,0.5607380462206796,False
model.layers.10.mlp.up_proj,-0.002357377577815593,0.45888051788012185,3.572486742337545,0.21116644963622094,7.785205119703297,0.5602065916185925,False
model.layers.8.self_attn.v_proj,0.0022578831849386916,0.48242306187748907,2.4456723759571712,0.2361149790386359,5.0695489077372065,0.5589879320436635,False
model.layers.3.self_attn.v_proj,0.03531462357689937,0.43644215116898216,2.4938594381014507,0.19454464506513128,5.714053322687787,0.5483517724792725,False
model.layers.6.mlp.act_fn,-0.13573091675837834,0.22970077147086462,3.8839494506518046,0.07158995401114225,16.908661286247174,0.5416772964928289,False
model.layers.6.self_attn.v_proj,-0.0016959959548936846,0.46087081034978233,2.6101283808549245,0.21521515175700187,5.6634585197865475,0.5407229066782416,False
model.layers.4.mlp.act_fn,-0.13474925880630811,0.21750220308701199,3.943785337607066,0.06568319505701463,18.13207935162848,0.5401405749153064,False
model.layers.7.mlp.act_fn,-0.1223985596249501,0.2330464278658231,3.9351456662019095,0.06958357021212577,16.88560007822771,0.5312593452942629,False
model.layers.1.mlp.up_proj,0.0014806538201279787,0.3822578718264898,4.3257532556851706,0.1468120546390613,11.316292634402645,0.5115826574545503,False
model.layers.16.mlp,0.0036130568038061027,0.3123814279834429,5.731977693239847,0.09862326035896937,18.349232158294313,0.509349132406089,False
model.layers.16.mlp.down_proj,0.0036130568038061027,0.3123814279834429,5.731977693239847,0.09862326035896937,18.349232158294313,0.509349132406089,False
model.layers.9.mlp.act_fn,-0.10053630471229554,0.22335835422078767,3.8503477732340494,0.060172136935094996,17.238354698268125,0.5022954196092739,False
model.layers.15.mlp.act_fn,-0.05447391585136453,0.3063639578719934,4.001239848136902,0.0975561545540889,13.060370467724042,0.5011971938560071,False
model.layers.1.mlp.act_fn,-0.08868116817126671,0.21365200156966846,4.099806722005209,0.05400124347458283,19.18909021583923,0.4996241962467858,False
model.layers.18.mlp.down_proj,0.004109887421706541,0.2979851081967354,5.483658405145009,0.09182908479124308,18.40239613292512,0.4953018654268174,False
model.layers.18.mlp,0.004109887421706541,0.2979851081967354,5.483658405145009,0.09182908479124308,18.40239613292512,0.4953018654268174,False
model.layers.17.mlp.down_proj,-0.0008549507691592832,0.28389754990736643,5.679796042044957,0.08157596592791379,20.00642850728975,0.4929743823422146,False
model.layers.17.mlp,-0.0008549507691592832,0.28389754990736643,5.679796042044957,0.08157596592791379,20.00642850728975,0.4929743823422146,False
model.layers.8.mlp.act_fn,-0.11435274643202623,0.22220694323380788,3.278005617856979,0.06269162365545829,14.751973174999652,0.49034858378137647,False
model.layers.14.mlp.act_fn,-0.035798793596525984,0.28603535071015357,4.058027780055999,0.08377978708595038,14.187105135347226,0.4720831743687468,False
model.layers.10.mlp.act_fn,-0.07765799512465794,0.22967824563384057,3.5794630885124206,0.059080769307911396,15.584617054249973,0.46909048823178945,False
model.layers.11.mlp.act_fn,-0.06210517367968957,0.25325944647192955,3.648260569572449,0.0682996462409695,14.40517309510788,0.4662463157267949,False
model.layers.13.mlp.act_fn,-0.05488168072576324,0.24812016611297924,3.5515494108200074,0.06499019140998523,14.31377043102743,0.4526385702900153,False
model.layers.12.mlp.act_fn,-0.06319783381186425,0.23978516707817712,3.4090086738268535,0.061845196535189946,14.216869619152883,0.4513362167350892,False
model.layers.1.self_attn.v_proj,-0.02348625792268043,0.30298647582530974,2.7877956509590147,0.09255567714571952,9.201026027116528,0.42773856173372743,False
model.layers.0.mlp.up_proj,0.00033671543775805427,0.31517616560061773,3.0263318260510763,0.09973385967314244,9.60200216371622,0.4215062886428522,False
model.layers.10.self_attn,0.0015785590180409296,0.12932259912292163,3.6379526297251386,0.01682504921530684,28.130616951568733,0.41388983257818057,False
model.layers.10.self_attn.o_proj,0.0015785590180409296,0.12932259912292163,3.6379526297251386,0.01682504921530684,28.130616951568733,0.41388983257818057,False
model.layers.4.mlp,0.004678223946151168,0.20933222621679307,4.083178949356079,0.04422830203548074,19.505641904775267,0.41348969941424496,False
model.layers.4.mlp.down_proj,0.004678223946151168,0.20933222621679307,4.083178949356079,0.04422830203548074,19.505641904775267,0.41348969941424496,False
model.layers.2.self_attn.v_proj,0.005490950930834515,0.32163846989472705,1.8823924581209819,0.10424622943003972,5.852492104706836,0.39607896481563387,False
